epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3804,2.61792,4.12358,2.31107,0.02227,0.03571,0.00806,0.00158,3.43998,5.45957,3.20015,0.000656085,0.000656085,0.000656085
2,38.5321,2.7176,3.65609,2.35357,0.00915,0.14286,0.0031,0.00063,3.55588,64.7582,4.58569,0.00129656,0.00129656,0.00129656
3,55.0702,2.72009,3.52842,2.49197,0.00332,0.46429,0.00236,0.00126,2.51217,inf,7.5579,0.00191064,0.00191064,0.00191064
4,67.4004,2.96687,3.70513,2.60249,0.00063,0.10714,0.00042,0.00018,3.07,inf,58.409,0.0018812,0.0018812,0.0018812
5,84.5208,2.69264,3.51986,2.39213,0.00037,0.10714,0.00021,5e-05,3.90616,60.4532,39.262,0.0018416,0.0018416,0.0018416
6,97.5007,2.57409,3.46513,2.32765,0.11761,0.03571,0.02666,0.00532,3.4254,5.15899,4.60412,0.001802,0.001802,0.001802
7,123.336,2.52291,3.28882,2.29431,0.24337,0.32143,0.12319,0.07153,2.41117,5.36604,2.21836,0.0017624,0.0017624,0.0017624
8,144.652,2.54532,3.28978,2.27588,0.20749,0.18726,0.11547,0.04815,2.5891,4.20734,2.16318,0.0017228,0.0017228,0.0017228
9,164.182,2.42644,3.18995,2.23041,0.14949,0.17857,0.0801,0.02416,2.51176,3.39955,2.11482,0.0016832,0.0016832,0.0016832
10,182.654,2.45131,3.12404,2.23454,0.07437,0.21429,0.0347,0.01192,2.52395,3.34116,2.16222,0.0016436,0.0016436,0.0016436
11,196.008,2.49396,3.15429,2.21296,0.03693,0.25,0.01912,0.00929,2.19367,7.03467,1.91725,0.001604,0.001604,0.001604
12,209.535,2.31801,2.95329,2.07772,0.31081,0.28571,0.20828,0.12574,2.14199,3.15575,1.82251,0.0015644,0.0015644,0.0015644
